,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
943,PS 002 ALFRED ZIMBERG,Elementary School, 46.67 ,C,47.07,0.588,0.613,0.347,0.75,Well-Developed,312,10.3,94.9
944,PS 011 KATHRYN PHELAN,Elementary School, 48.55 ,A,64.19,0.706,0.685,0.492,6,Well-Developed,484,13.4,81.4
945,PS 017 HENRY DAVID THOREAU,Elementary School, 60.59 ,B,59.5,0.649,0.414,0.638,2.25,Proficient,"1,360",18.8,53.1
946,PS 069 JACKSON HEIGHTS,Elementary School, 46.77 ,B,50.71,0.588,0.741,0.344,0.75,Proficient,"1,295",15.0,85.3
947,PS 070 QUEENS,Elementary School, 49.64 ,B,63.33,0.508,0.677,0.562,4.5,Well-Developed,915,15.2,78.9
948,PS 076 WILLIAM HALLET,Elementary School, 67.68 ,A,73.44,0.554,0.604,0.732,6.75,Proficient,"1,056",14.2,76.8
949,PS 078,Elementary School, 45.90 ,A,83.93,0.516,0.704,0.974,1.5,Proficient,"1,090",16.0,53.8
950,PS 084 STEINWAY,Elementary School, 48.58 ,C,40.12,0.611,0.468,0.307,0,Proficient,383,11.9,93.2
951,PS 085 JUDGE CHARLES VALLONE,Elementary School, 46.94 ,C,43.25,0.31,0.598,0.375,0,Proficient,"1,106",15.1,75.3
952,PS 092 HARRY T STEWART SR.,Elementary School, 80.09 ,C,48.86,0.792,0.541,0.377,0,Well-Developed,"1,076",16.3,68.8
953,PS 111 JACOB BLACKWELL,Elementary School, 75.63 ,B,53.5,0.428,0.209,0.687,3,Proficient,551,12.2,72.6
954,PS 112 DUTCH KILLS,Elementary School, 65.32 ,D,35.31,0.206,0.387,0.361,0.75,Proficient,498,12.4,92.4
955,PS 122 MAMIE FAY,K-8 School, 36.62 ,B,55.69,0.627,0.911,0.317,1.5,Well-Developed,565,14.4,73.1
956,PS 127 AEROSPACE SCIENCE MAGNE,K-8 School, 75.76 ,B,56.88,0.547,0.729,0.419,3.75,Proficient,780,14.4,58.6
957,PS 148 QUEENS,Elementary School, 64.81 ,B,55.12,0.553,0.671,0.472,0.75,Proficient,516,14.3,82.6
958,PS 149 CHRISTA MCAULIFFE,Elementary School, 71.97 ,B,57.29,0.573,0.594,0.548,0.75,Proficient,"1,039",17.9,61.6
959,PS 150 QUEENS,Elementary School, 50.76 ,A,69.95,0.362,0.697,0.684,6,Proficient,878,14.6,82.6
960,PS 151 MARY D. CARTER,Elementary School, 59.53 ,F,27.95,0.23,0.203,0.321,0.75,Proficient,456,7.9,77.2
961,PS 152 GWENDOLYN ALLEYNE,Elementary School, 52.16 ,B,51.5,0.457,0.537,0.492,1.5,Proficient,271,11.7,56.8
962,PS 166 HENRY GRADSTEIN,Elementary School, 55.87 ,D,36.9,0.488,0.573,0.225,0,Well-Developed,658,17.3,42.4
963,PS 171 PETER G VAN ALST,Elementary School, 67.29 ,C,41.2,0.402,0.384,0.416,0.75,Undeveloped,920,12.9,82.1
964,PS 212,Elementary School, 63.57 ,A,68.24,0.789,0.773,0.55,3,Proficient,704,13.7,26.8
965,WILLIAM CULLEN BRYANT HIGH SCHOOL,High School, 2.60 ,B,53.19,0.46,0.455,0.594,0,Proficient,"2,378",17.1,84.9
966,CONCORD HIGH SCHOOL,Transfer School, NA ,B,43.40,0.704,0.440,0.316,2.25,Proficient,166,12.9,71.7
967,CURTIS HIGH SCHOOL,High School, 2.66 ,B,64.24,0.537,0.714,0.605,1.5,Well-Developed,"2,590",18.2,75.4
968,I S 002 GEORGE L EGBERT,Middle School, 3.25 ,C,44.37,0.185,0.567,0.365,4.5,Well-Developed,973,15.4,71.1
969,I S 024 MYRA S BARNES,Middle School, 3.53 ,C,47.5,0.408,0.577,0.424,0.75,Well-Developed,"1,264",12.1,43.4
970,I S 034 TOTTENVILLE,Middle School, 3.52 ,D,38.32,0.475,0.6,0.24,0,Well-Developed,"1,001",16.0,73
971,I S 051 EDWIN MARKHAM,Middle School, 3.21 ,C,39.69,0.264,0.451,0.377,1.5,Proficient,"1,090",14.9,34.2
972,I S 061 WILLIAM A MORRIS,Middle School, 3.24 ,C,41.14,0.324,0.518,0.35,1.5,Well-Developed,626,10.4,94.1
973,I S 075 FRANK D PAULO,Middle School, 3.49 ,B,53.2,0.538,0.674,0.398,3,Well-Developed,"1,311",15.3,78.3
974,IS 007 ELIAS BERNSTEIN,Middle School, 3.52 ,B,53.6,0.404,0.746,0.43,1.5,Well-Developed,982,13.2,82.5
975,IS 027 ANNING S PRALL,Middle School, 3.17 ,C,42.89,0.377,0.511,0.385,0.75,Proficient,"1,166",16.1,36.8
976,IS 072 ROCCO LAURIE,Middle School, 3.33 ,C,43.8,0.36,0.573,0.386,0,Well-Developed,"1,407",14.3,64.5
977,IS 49 Berta A. Dreyfus,Middle School, 3.07 ,C,43.52,0.25,0.511,0.431,0.75,Proficient,"1,368",12.6,38.5
978,MICHAEL J. PETRIDES HIGH SCHOOL,High School, 3.18 ,A,71.9,0.672,0.895,0.554,4.5,Well-Developed,1313,15.2,47.1
979,NEW DORP HIGH SCHOOL,High School, 2.67 ,B,51.34,0.395,0.432,0.536,3,Well-Developed,"3,046",16.8,60.1
980,PORT RICHMOND HIGH SCHOOL,High School, 2.63 ,B,52.92,0.445,0.559,0.536,0,Proficient,"1,541",16.3,74
981,PS 001 TOTTENVILLE,Elementary School, 11.90 ,C,41.58,0.431,0.392,0.384,2.25,Well-Developed,465,11.3,38.5
982,PS 003 THE MARGARET GIOIOSA SCHOOL,Elementary School, 9.16 ,B,49.95,0.524,0.567,0.429,1.5,Proficient,316,11.2,73.7
983,PS 004 MAURICE WOLLIN,Elementary School, 18.00 ,C,43.16,0.385,0.373,0.476,0,Well-Developed,866,14.4,64.9
984,PS 005 HUGUENOT,Elementary School, 9.76 ,C,47.5,0.479,0.675,0.365,0,Well-Developed,525,11.9,98.3
985,PS 013 M L LINDENMEYER,Elementary School, 50.78 ,B,61.3,0.322,0.535,0.694,2.25,Proficient,568,10.9,90
986,PS 016 JOHN J DRISCOLL,Elementary School, 66.10 ,C,42.82,0.417,0.19,0.534,1.5,Proficient,594,12.9,84.5
987,PS 018 JOHN G WHITTIER,Elementary School, 75.32 ,B,50.65,0.336,0.323,0.612,2.25,Proficient,455,10.3,96
988,PS 019 THE CURTIS SCHOOL,Elementary School, 62.44 ,B,51.63,0.571,0.553,0.454,1.5,Well-Developed,364,10.7,80.8
989,PS 020 PORT RICHMOND,Elementary School, 76.07 ,B,56.74,0.671,0.433,0.585,1.5,Well-Developed,967,14.2,87.9
990,PS 022 GRANITEVILLE,Elementary School, 51.69 ,B,57.48,0.464,0.514,0.542,5.25,Well-Developed,562,13.3,37.2
991,PS 023 RICHMONDTOWN,Elementary School, 13.93 ,C,40.17,0.506,0.579,0.276,0,Well-Developed,264,12.5,48.9
992,PS 026 THE CARTERET SCHOOL,Elementary School, 40.44 ,C,42.06,0.309,0.301,0.503,0.75,Proficient,642,16.4,53
993,PS 029 BARDWELL,Elementary School, 27.05 ,A,65.31,0.599,0.615,0.634,3,Well-Developed,793,14.9,29.8
994,PS 030 WESTERLEIGH,Elementary School, 20.70 ,C,49.61,0.436,0.619,0.432,0.75,Proficient,827,14.2,35.6
995,PS 031 WILLIAM T DAVIS,Elementary School, 69.96 ,D,37.76,0.317,0.353,0.407,0,Proficient,392,10.8,90.6
996,PS 032 THE GIFFORD SCHOOL,Elementary School, 12.34 ,B,51.55,0.334,0.549,0.492,3,Well-Developed,675,14.9,32.9
997,PS 036 J C DRUMGOOLE,Elementary School, 10.53 ,F,27.3,0.151,0.363,0.257,0,Proficient,393,17.8,38.9
998,PS 038 GEORGE CROMWELL,Elementary School, 40.32 ,C,48.98,0.287,0.46,0.561,0,Well-Developed,858,14.2,34.5
999,PS 042 ELTINGVILLE,Elementary School, 13.12 ,C,47.18,0.753,0.408,0.389,2.25,Well-Developed,375,12.0,69.9
1000,PS 044 THOMAS C BROWN,Elementary School, 68.61 ,D,38.24,0.114,0.189,0.534,1.5,Proficient,540,14.5,67.8
1001,PS 045 JOHN TYLER,Elementary School, 42.57 ,C,41.02,0.283,0.586,0.308,2.25,Proficient,744,8.6,37.4
1002,PS 046 ALBERT V. MANISCALCO,Elementary School, 42.04 ,F,29.99,0.484,0.447,0.156,0.75,Proficient,"1,036",15.0,36.8
1003,PS 048 WILLIAM C WILCOX,Elementary School, 22.65 ,B,53.33,0.587,0.673,0.443,0,Well-Developed,867,11.2,94.6
1004,PS 050 FRANK HANKINSON,Elementary School, 18.38 ,F,30.52,0.41,0.101,0.374,0.75,Proficient,862,14.8,72.3
1005,PS 052 JOHN C THOMPSON,Elementary School, 26.26 ,C,40.03,0.448,0.396,0.349,2.25,Well-Developed,270,11.2,82.6
1006,PS 054 CHARLES W LENG,Elementary School, 25.96 ,B,53.35,0.589,0.62,0.444,1.5,Well-Developed,982,15.8,41.3
1007,PS 055 HENRY M BOEHM,Elementary School, 10.44 ,D,37.95,0.571,0.453,0.274,0.75,Well-Developed,300,12.5,24.7
1008,PS 057 HUBERT H HUMPHREY,Elementary School, 72.05 ,B,59.32,0.488,0.313,0.625,8.25,Proficient,773,15.4,40.2
1009,PS 060 ALICE AUSTEN,Elementary School, 35.76 ,C,44.72,0.218,0.343,0.526,2.25,Well-Developed,524,13.4,65.1
1010,PS 069 DANIEL D TOMPKINS,Elementary School, 23.70 ,C,42.67,0.449,0.313,0.483,0,Well-Developed,808,13.6,59.9
1011,PS 11 Thomas Dongan School,Elementary School, 45.82 ,F,30.24,0.287,-0.041,0.494,0,Proficient,602,12.8,36.9
1012,PS 21 MARGARET EMERY-ELM PARK,Elementary School, 68.27 ,B,55.97,0.47,0.57,0.551,1.5,Proficient,604,12.5,36.8
1013,PS 35 The Clove Valley School,Elementary School, 29.78 ,F,21.75,0.678,0.824,-0.239,0,Well-Developed,714,13.4,86
1014,PS 39 FRANCIS J MURPHY JR.,Elementary School, 36.61 ,B,55.41,0.642,0.657,0.474,0,Well-Developed,541,12.5,39.2
1015,PS 56 THE LOUIS DESARIO SCHOOL,Elementary School, 13.27 ,C,41.01,0.359,0.59,0.326,0,Well-Developed,875,14.1,58.1
1016,PS 6 CPL ALLAN F KIVLEHAN SCHL,Elementary School, 11.86 ,B,59,0.562,0.347,0.648,4.5,Well-Developed,936,9.2,57.5
1017,PS 8 SHIRLEE SOLOMON,Elementary School, 16.61 ,D,34.24,0.559,0.44,0.203,1.5,Well-Developed,602,16.7,35
1018,RALPH R. MCKEE CAREER AND TECHNICAL HIGH SCHOOL,High School, 2.46 ,B,63.81,0.536,0.644,0.581,4.5,Well-Developed,795,14.0,67.5
1019,S.S. COLUMBIA SCHOOL,Elementary School, 27.80 ,B,50.03,0.519,0.543,0.445,1.5,Well-Developed,692,12.7,52.5
1020,STATEN ISLAND TECHNICAL HIGH SCHOOL,High School, 3.93 ,A,77.58,0.577,1,0.689,1,Proficient,"1,320",21.9,42
1021,SUSAN E. WAGNER HIGH SCHOOL,High School, 2.85 ,B,66.04,0.387,0.709,0.518,10.5,Well-Developed,"3,281",20.0,55.9
1022,TOTTENVILLE HIGH SCHOOL,High School, 2.99 ,B,57.18,0.354,0.58,0.463,9,Well-Developed,"3,803",19.1,35.9
1023,ACADEMY OF URBAN PLANNING,High School, 2.35 ,C,44.71,0.483,0.523,0.396,0,Undeveloped,202,10.6,98
1024,ALL CITY LEADERSHIP SECONDARY SCHOOL,High School, 2.77 ,B,65.24,0.847,0.891,0.415,3,Well-Developed,435,24.1,85.7
1025,BUSHWICK COMMUNITY HIGH SCHOOL,Transfer School, NA ,C,41.15,0.697,0.229,0.420,0.75,Undeveloped,202,20.1,86.6
1026,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,High School, 2.40 ,B,50.32,0.519,0.653,0.335,4.5,Proficient,280,10.3,97.1
1027,IS 347 SCHOOL OF HUMANITIES,Middle School, 2.98 ,B,60.9,0.6,0.529,0.532,6.75,Proficient,311,11.9,94.5
1028,"IS 349 MATH, SCIENCE & TECH.",Middle School, 2.98 ,B,60.44,0.532,0.496,0.561,6.75,Proficient,310,11.9,97.7
1029,JHS 162 THE WILLOUGHBY,Middle School, 3.04 ,C,48.95,0.513,0.403,0.462,3.75,Proficient,364,10.7,89.8
1030,JHS 291 ROLAND HAYES,Middle School, 2.84 ,D,38.74,0.418,0.324,0.414,0,Undeveloped,290,10.7,95.9
1031,JHS 383 PHILLIPPA SCHUYLER,Middle School, 3.82 ,C,45.96,0.427,0.663,0.33,1.5,Proficient,869,15.3,83.4
1032,PS 045 HORACE E GREENE,Elementary School, 78.17 ,A,77.85,0.545,0.69,0.768,6.75,Proficient,427,11.8,95.6
1033,PS 075 MAYDA CORTIELLA,Elementary School, 73.01 ,A,64.8,0.522,0.432,0.732,3.75,Proficient,390,10.8,89.2
1034,PS 086 THE IRVINGTON,Elementary School, 76.19 ,B,60.36,0.706,0.611,0.558,0.75,Proficient,620,11.9,96.5
1035,PS 106 EDWARD EVERETT HALE,Elementary School, 80.75 ,A,74.23,0.516,0.589,0.765,6.75,Proficient,581,13.8,91
1036,PS 116 ELIZABETH L FARRELL,Elementary School, 80.73 ,A,72.52,0.604,0.726,0.703,3,Proficient,305,11.2,94.4
1037,PS 123 SUYDAM,Elementary School, 79.90 ,D,37.59,0.447,0.561,0.255,0,Undeveloped,408,15.0,96.6
1038,PS 145 ANDREW JACKSON,Elementary School, 80.94 ,C,49.52,0.48,0.562,0.463,0,Proficient,270,12.2,96.3
1039,PS 151 LYNDON B JOHNSON,Elementary School, 75.67 ,B,51.3,0.689,0.574,0.418,0.75,Proficient,315,12.1,93.3
1040,PS 274 KOSCIUSKO,Elementary School, 81.18 ,C,49.36,0.385,0.583,0.434,2.25,Proficient,363,11.0,90.9
1041,PS 299 THOMAS WARREN FIELD,Elementary School, 72.96 ,C,39.63,0.227,0.298,0.482,0.75,Proficient,379,11.8,98.2
1042,PS 377 ALEJANDRINA B DEGAUTIER,Elementary School, 74.61 ,B,51.37,0.482,0.366,0.589,0.75,Proficient,510,14.1,87.6
1043,PS 384 FRANCES E CARTER,Elementary School, 81.29 ,A,75.01,0.575,0.459,0.848,6,Proficient,685,14.2,82.2
