,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
336,PS 094 KINGS COLLEGE SCHOOL,Elementary School, 68.17 ,C,40.46,0.351,0.326,0.462,0,Undeveloped,"1,263",12.9,93
337,PS 095 SHEILA MENCHER,K-8 School, 66.20 ,B,62.64,0.342,0.521,0.693,3.75,Well-Developed,"1,289",17.0,81.5
338,PS 159 LUIS MUNOZ MARIN BILING,Elementary School, 81.82 ,C,39.79,0.804,0.643,0.153,0,Proficient,192,12.8,87
339,PS 20 P.O.GEORGE J. WERDAN III,K-8 School, 68.44 ,C,46.63,0.293,0.437,0.448,4.5,Well-Developed,"1,069",15.2,94.9
340,PS 205 FIORELLO LAGUARDIA,Elementary School, 75.56 ,B,51.55,0.783,0.726,0.246,4.5,Well-Developed,"1,087",14.1,94.6
341,PS 226,Elementary School, 76.29 ,B,63.85,0.475,0.426,0.772,1.5,Proficient,887,14.4,95.6
342,PS 246 POE CENTER,Elementary School, 79.23 ,B,58.98,0.436,0.274,0.722,4.5,Undeveloped,347,15.0,94.8
343,"PS 279 CAPT MANUEL RIVERA, JR",K-8 School, 74.23 ,A,77.45,0.359,0.512,0.867,9,Proficient,483,14.2,97.5
344,PS 280 MOSHOLU PARKWAY,K-8 School, 63.07 ,A,66.13,0.72,0.763,0.495,5.25,Well-Developed,"1,010",13.8,90
345,PS 291,Elementary School, 73.80 ,D,32.75,0.817,0.629,0.03,0,Proficient,730,13.7,93.8
346,PS 3 RAUL JULIA MICRO SOCIETY,K-8 School, 68.78 ,A,64.68,0.476,0.537,0.671,4.5,Proficient,635,14.1,98.9
347,PS 306,Elementary School, 81.56 ,B,53.84,0.506,0.399,0.623,0,Well-Developed,695,14.1,89.2
348,PS 310 MARBLE HILL,Elementary School, 74.69 ,A,65.59,0.463,0.571,0.727,1.5,Proficient,741,13.4,95.7
349,PS 315 LAB SCHOOL,K-8 School, 74.84 ,B,60.25,0.71,0.653,0.519,1.5,Proficient,247,16.4,97.6
350,PS 340,Elementary School, 71.96 ,B,60.86,0.911,0.636,0.498,0.75,Well-Developed,656,12.8,88
351,PS 360,Elementary School, 75.84 ,A,69.79,0.631,0.462,0.708,7.5,Proficient,486,13.1,94.2
